District,Age group,Male,Female,Total
Buikwe,0--9,71255,66128,137383
Buikwe,10--19,55265,56312,111577
Buikwe,20--39,52765,61187,113952
Buikwe,40--59,20644,22503,43147
Buikwe,60+,7395,9317,16712
Bukomansimbi ,0--9,27129,24459,51588
Bukomansimbi ,10--19,21375,19962,41337
Bukomansimbi ,20--39,14966,17313,32279
Bukomansimbi ,40--59,7916,9397,17313
Bukomansimbi ,60+,3723,5173,8896
Butambala,0--9,18567,16577,35144
Butambala,10--19,14462,13951,28413
Butambala,20--39,10162,11811,21973
Butambala,40--59,4899,5573,10472
Butambala,60+,1992,2846,4838
Buvuma,0--9,15762,14536,30298
Buvuma,10--19,8210,7722,15932
Buvuma,20--39,16515,14152,30667
Buvuma,40--59,6620,4311,10931
Buvuma,60+,1307,755,2062
Gomba,0--9,28775,25998,54773
Gomba,10--19,22172,19725,41897
Gomba,20--39,18433,18409,36842
Gomba,40--59,8968,9059,18027
Gomba,60+,3819,4564,8383
Kalangala,0--9,7134,6443,13577
Kalangala,10--19,3583,3255,6838
Kalangala,20--39,14745,10492,25237
Kalangala,40--59,4978,2269,7247
Kalangala,60+,909,485,1394
Kalungu,0--9,32193,29371,61564
Kalungu,10--19,25355,24849,50204
Kalungu,20--39,18497,22119,40616
Kalungu,40--59,9259,10872,20131
Kalungu,60+,4375,6342,10717
Kampala,0--9,195332,182208,377540
Kampala,10--19,137414,181628,319042
Kampala,20--39,295908,348163,644071
Kampala,40--59,71264,66188,137452
Kampala,60+,12844,16131,28975
Kayunga,0--9,67315,62345,129660
Kayunga,10--19,51541,49715,101256
Kayunga,20--39,36913,45224,82137
Kayunga,40--59,17641,20498,38139
Kayunga,60+,7296,9574,16870
Kiboga,0--9,25432,23707,49139
Kiboga,10--19,19260,18151,37411
Kiboga,20--39,19860,19140,39000
Kiboga,40--59,7866,7490,15356
Kiboga,60+,3429,3883,7312
Kyankwanzi ,0--9,38392,35680,74072
Kyankwanzi ,10--19,26067,25048,51115
Kyankwanzi ,20--39,30990,28238,59228
Kyankwanzi ,40--59,11655,9630,21285
Kyankwanzi ,60+,4435,4558,8993
Luwero ,0--9,78516,72008,150524
Luwero ,10--19,62090,60438,122528
Luwero ,20--39,55264,62339,117603
Luwero ,40--59,22806,24204,47010
Luwero ,60+,8129,11164,19293
Lwengo ,0--9,50781,47065,97846
Lwengo ,10--19,36563,35722,72285
Lwengo ,20--39,27319,34651,61970
Lwengo ,40--59,13158,16067,29225
Lwengo ,60+,5653,7974,13627
Lyantonde ,0--9,16397,15367,31764
Lyantonde ,10--19,11323,11321,22644
Lyantonde ,20--39,12238,13315,25553
Lyantonde ,40--59,5035,4921,9956
Lyantonde ,60+,1721,2115,3836
Masaka,0--9,48934,45544,94478
Masaka,10--19,36691,37534,74225
Masaka,20--39,39538,45737,85275
Masaka,40--59,14965,15063,30028
Masaka,60+,5424,7574,12998
Mityana,0--9,56610,50593,107203
Mityana,10--19,43862,41904,85766
Mityana,20--39,40678,42974,83652
Mityana,40--59,17074,18504,35578
Mityana,60+,7493,9272,16765
Mpigi ,0--9,43505,39628,83133
Mpigi ,10--19,33282,31409,64691
Mpigi ,20--39,30876,33652,64528
Mpigi ,40--59,12872,13734,26606
Mpigi ,60+,4869,6721,11590
Mubende ,0--9,123125,114047,237172
Mubende ,10--19,86275,82701,168976
Mubende ,20--39,91141,94013,185154
Mubende ,40--59,34122,33951,68073
Mubende ,60+,11991,12982,24973
Mukono,0--9,97504,90018,187522
Mukono,10--19,72753,76668,149421
Mukono,20--39,78613,94150,172763
Mukono,40--59,29900,32291,62191
Mukono,60+,10987,13920,24907
Nakaseke ,0--9,32276,29003,61279
Nakaseke ,10--19,25576,23650,49226
Nakaseke ,20--39,30788,24739,55527
Nakaseke ,40--59,12286,10251,22537
Nakaseke ,60+,3869,4935,8804
Nakasongola ,0--9,31673,29899,61572
Nakasongola ,10--19,24382,23459,47841
Nakasongola ,20--39,24545,22938,47483
Nakasongola ,40--59,9499,8721,18220
Nakasongola ,60+,3224,3455,6679
Rakia,0--9,93487,85800,179287
Rakia,10--19,67541,65919,133460
Rakia,20--39,56513,68222,124735
Rakia,40--59,25857,28079,53936
Rakia,60+,10968,13923,24891
Ssembabule ,0--9,45509,42820,88329
Ssembabule ,10--19,32826,31477,64303
Ssembabule ,20--39,29199,32602,61801
Ssembabule ,40--59,13552,13519,27071
Ssembabule ,60+,4998,6095,11093
Wakiso ,0--9,310737,290277,601014
Wakiso ,10--19,199380,246815,446195
Wakiso ,20--39,326786,398450,725236
Wakiso ,40--59,93405,85154,178559
Wakiso ,60+,18727,27687,46414
